Date/Time;Electricity:Facility [kW](Hourly);Fans:Electricity [kW](Hourly);Cooling:Electricity [kW](Hourly);Heating:Electricity [kW](Hourly);InteriorLights:Electricity [kW](Hourly);InteriorEquipment:Electricity [kW](Hourly);Gas:Facility [kW](Hourly);Heating:Gas [kW](Hourly);InteriorEquipment:Gas [kW](Hourly);Water Heater:WaterSystems:Gas [kW](Hourly)
 06/10  16:00:00;1011,946013;94,71476999;424,4106968;0;109,6827682;220,0431645;368,46737;257,1412195;84,97004941;26,35610105
 06/10  17:00:00;972,7399147;94,71476999;427,6378359;0;109,6827682;220,0431645;358,259111;255,7855253;84,97004941;17,50353624
 06/10  18:00:00;942,328437;94,71476999;436,8561633;0;100,1506573;199,1109338;399,3463996;297,003917;84,97004941;17,37243321
 06/10  19:00:00;947,3165909;94,71476999;445,5400728;0;100,1506573;191,6136585;388,7456303;323,4023928;56,64669961;8,696537821
 06/10  20:00:00;843,6994182;94,71476999;441,6931049;0;55,62514452;124,5586935;439,5216293;374,1781729;56,64669961;8,696756778
 06/10  21:00:00;845,4606893;94,71476999;443,9739566;0;55,62514452;124,5586935;443,280606;383,4214478;42,48502471;17,37413353
 06/10  22:00:00;833,3949878;94,71476999;441,8391585;0;46,09303362;124,5586935;436,8545338;399,8361843;28,3233498;8,694999743
 06/10  23:00:00;836,9199534;94,71476999;444,4917653;0;46,09303362;124,5586935;438,2468027;406,7145556;14,1616749;17,37057224
 06/10  24:00:00;841,0002392;94,71476999;462,66659;0;46,09303362;113,3127805;429,1862956;414,8260248;5,664669961;8,695600865
 06/11  01:00:00;832,2656511;94,71476999;465,6861424;0;34,96165543;113,3127805;435,7034933;421,3430676;5,664669961;8,695755713
 06/11  02:00:00;829,4845285;94,71476999;462,4913402;0;34,96165543;113,3127805;448,2529813;425,2162478;5,664669961;17,37206353
 06/11  03:00:00;835,1659181;94,71476999;468,5962089;0;34,96165543;113,3127805;443,6850327;429,3240333;5,664669961;8,696329511
 06/11  04:00:00;847,452267;94,71476999;470,9834223;0;44,49376632;113,3127805;435,333004;420,9718021;5,664669961;8,696531965
 06/11  05:00:00;845,0001625;94,71476999;472,6924194;0;44,49376632;113,3127805;452,6877044;421,1523563;14,1616749;17,37367323
 06/11  06:00:00;902,7722176;94,71476999;468,9068586;0;54,02587722;176,8892702;393,913297;356,892806;28,3233498;8,697141253
 06/11  07:00:00;907,7424861;94,71476999;466,4771426;0;54,02587722;184,3865456;409,7833793;349,9282552;42,48502471;17,37009934
 06/11  08:00:00;983,6846917;94,71476999;462,6758849;0;65,15725541;220,0431645;400,0690061;334,6931917;56,64669961;8,729114838
 06/11  09:00:00;970,5723011;94,71476999;456,4575829;0;65,15725541;212,5458892;396,269198;327,5428041;42,48502471;26,24136913
 06/11  10:00:00;972,2653624;94,71476999;449,9861099;0;65,15725541;220,0431645;408,8839505;320,511913;70,80837451;17,56366307
 06/11  11:00:00;964,4197908;94,71476999;440,1123381;0;65,15725541;220,0431645;408,4563428;311,3110134;70,80837451;26,33695481
 06/11  12:00:00;950,2954669;94,71476999;425,5385305;0;65,15725541;220,0431645;403,2898997;306,1464689;70,80837451;26,33505626
 06/11  13:00:00;947,3229161;94,71476999;430,9556;0;65,15725541;212,5458892;376,627096;302,4160998;56,64669961;17,56429654
 06/11  14:00:00;947,876672;94,71476999;431,8172639;0;65,15725541;212,5458892;364,9108064;296,0878883;42,48502471;26,33789337
 06/11  15:00:00;945,7931269;94,71476999;429,6970684;0;65,15725541;212,5458892;367,4816757;284,4991139;56,64669961;26,33586224
 06/11  16:00:00;923,9124811;94,71476999;433,418677;0;65,15725541;220,0431645;379,9990788;277,4640103;84,97004941;17,56501905
 06/11  17:00:00;874,4192783;94,71476999;429,918826;0;54,02587722;184,3865456;396,8366768;285,626171;84,97004941;26,24045639
 06/11  18:00:00;844,576401;94,71476999;429,9710548;0;44,49376632;163,4543149;418,4369419;324,7710818;84,97004941;8,69581062
 06/11  19:00:00;853,1582536;94,71476999;442,5046221;0;44,49376632;155,9570395;416,5546735;351,2119525;56,64669961;8,696021405
 06/11  20:00:00;840,6043455;94,71476999;450,6570698;0;44,49376632;124,5586935;470,7166542;396,6972939;56,64669961;17,37266069
 06/11  21:00:00;840,7429175;94,71476999;451,2865215;0;44,49376632;124,5586935;456,4270962;405,2454347;42,48502471;8,696636772
 06/11  22:00:00;826,9813832;94,71476999;447,2552276;0;34,96165543;124,5586935;458,2874734;421,2672833;28,3233498;8,696840358
 06/11  23:00:00;830,2300823;94,71476999;449,5341332;0;34,96165543;124,5586935;458,6646741;427,1318943;14,1616749;17,37110484
 06/11  24:00:00;819,9070719;94,71476999;451,7857675;0;34,96165543;113,3127805;445,9942831;431,6345556;5,664669961;8,695057499
 06/12  01:00:00;827,2787486;94,71476999;447,6829907;0;46,09303362;113,3127805;455,9354799;432,9002255;5,664669961;17,37058438
 06/12  02:00:00;828,9771292;94,71476999;449,5247261;0;46,09303362;113,3127805;449,7595244;435,3992989;5,664669961;8,695555556
 06/12  03:00:00;834,6531423;94,71476999;455,7474269;0;46,09303362;113,3127805;453,3089882;438,9485703;5,664669961;8,695747937
 06/12  04:00:00;926,1816542;94,71476999;457,060727;0;100,1506573;148,9693994;443,1238294;420,0870759;5,664669961;17,37208347
 06/12  05:00:00;922,9797653;94,71476999;456,3558976;0;100,1506573;149,8943994;727,7291575;704,8711388;14,1616749;8,696343862
 06/12  06:00:00;1136,435154;94,95320707;451,962472;0;176,4710373;302,6124365;507,182194;470,1623006;28,3233498;8,696543558
 06/12  07:00:00;1255,939832;95,30491015;447,5020631;0;243,2593065;310,1097119;489,1021205;420,3650061;42,48502471;26,25208967
 06/12  08:00:00;1291,16749;95,72315981;440,6625334;0;243,2593065;310,1097119;478,5273879;395,5178207;56,64669961;26,36286764
 06/12  09:00:00;1320,51862;96,22556811;435,894236;0;243,2593065;302,6124365;443,828455;374,8956307;42,48502471;26,44779963
 06/12  10:00:00;1320,003707;96,65906664;426,7272917;0;243,2593065;310,1097119;453,7231278;356,3450619;70,80837451;26,56969142
 06/12  11:00:00;1315,707897;97,09309303;420,3718553;0;243,2593065;310,1097119;456,8596105;350,5547141;70,80837451;35,49652184
 06/12  12:00:00;1266,353682;97,75560169;411,5569955;0;243,2593065;310,1097119;450,4008954;344,2640008;70,80837451;35,3285201
 06/12  13:00:00;1291,692127;98,94048595;402,9881982;0;243,2593065;302,6124365;425,0681281;332,9446471;56,64669961;35,47678131
 06/12  14:00:00;1287,602178;100,4920045;397,7928085;0;243,2593065;302,6124365;388,130275;319,0695044;42,48502471;26,57574589
 06/12  15:00:00;1287,430224;102,4627601;395,817413;0;243,2593065;302,6124365;396,8612819;304,8410742;56,64669961;35,37350807
 06/12  16:00:00;1300,347159;104,2710086;399,2549198;0;243,2593065;310,1097119;411,8491479;300,4596052;84,97004941;26,41949323
 06/12  17:00:00;1305,675151;105,525606;403,2379136;0;243,2593065;310,1097119;400,9879427;298,5523568;84,97004941;17,46553653
 06/12  18:00:00;1055,571028;94,71476999;430,4806036;0;166,9389264;199,1109338;396,277066;293,8951067;84,97004941;17,41190994
 06/12  19:00:00;1060,995683;94,71476999;439,4160361;0;166,9389264;191,6136585;385,487572;320,1238844;56,64669961;8,716987946
 06/12  20:00:00;934,594829;94,71476999;434,9863767;0;100,1506573;124,5586935;444,6051427;370,5435684;56,64669961;17,41487477
 06/12  21:00:00;891,5416494;94,71476999;431,0266469;0;100,1506573;124,5586935;430,287002;379,1043952;42,48502471;8,697582043
 06/12  22:00:00;823,9011536;94,71476999;430,9734487;0;46,09303362;124,5586935;444,3992252;398,7045921;28,3233498;17,37128324
 06/12  23:00:00;824,9803044;94,71476999;431,1877407;0;46,09303362;124,5586935;427,836992;404,9793771;14,1616749;8,695940021
 06/12  24:00:00;819,2322378;94,71476999;438,493997;0;46,09303362;113,3127805;425,4354901;411,0746749;5,664669961;8,696145232
 06/13  01:00:00;822,5620646;94,71476999;442,2450645;0;46,09303362;113,3127805;438,7823422;415,7449088;5,664669961;17,37276349
 06/13  02:00:00;822,1592677;94,71476999;441,8664581;0;46,09303362;113,3127805;433,9260574;419,5647506;5,664669961;8,696636818
 06/13  03:00:00;828,6743707;94,71476999;449,0216506;0;46,09303362;113,3127805;439,1453453;424,7838536;5,664669961;8,696821719
 06/13  04:00:00;918,2446032;94,71476999;445,0036645;0;100,1506573;148,9693994;428,526209;405,4897197;5,664669961;17,37181938
 06/13  05:00:00;911,0309502;94,87219931;440,5470412;0;100,1506573;149,8943994;582,4187427;559,5620711;14,1616749;8,694996632
 06/13  06:00:00;1129,740413;96,34678661;441,8054855;0;176,4710373;302,6124365;459,7085907;414,0133799;28,3233498;17,37186102
 06/13  07:00:00;1248,395506;97,74557866;436,7231548;0;243,2593065;310,1097119;437,5390504;377,5456323;42,48502471;17,50839338
 06/13  08:00:00;1283,98052;98,65141565;429,7378736;0;243,2593065;310,1097119;441,1191942;358,1118563;56,64669961;26,36063829
 06/13  09:00:00;1311,752618;99,75176873;422,6133371;0;243,2593065;302,6124365;405,9048252;336,971841;42,48502471;26,44795948
 06/13  10:00:00;1310,107468;100,8977154;411,4550455;0;243,2593065;310,1097119;433,8416387;327,6135805;70,80837451;35,41968364
 06/13  11:00:00;1300,733108;102,11214;400,2108794;0;243,2593065;310,1097119;418,7143078;320,2155101;70,80837451;27,69042312
 06/13  12:00:00;1248,246809;103,5316203;389,2526911;0;243,2593065;310,1097119;413,9948626;308,9333329;70,80837451;34,25315513
 06/13  13:00:00;1280,90667;105,1156814;387,3379061;0;243,2593065;302,6124365;397,7789328;305,6526406;56,64669961;35,47959257
 06/13  14:00:00;1281,407289;107,1036258;385,665938;0;243,2593065;302,6124365;367,917015;294,7059362;42,48502471;30,72605413
 06/13  15:00:00;1273,378694;109,1225338;376,5127956;0;243,2593065;302,6124365;359,6544181;271,7862698;56,64669961;31,22144863
 06/13  16:00:00;1279,29556;110,7471503;374,4364517;0;243,2593065;310,1097119;361,35568;249,9719445;84,97004941;26,4136861
 06/13  17:00:00;1281,631079;111,5725524;374,6888213;0;243,2593065;310,1097119;334,7046712;232,2744166;84,97004941;17,46020521
 06/13  18:00:00;1013,589144;94,71476999;389,8028449;0;166,9389264;199,1109338;368,7202965;266,3366867;84,97004941;17,41356042
 06/13  19:00:00;1042,933352;94,71476999;424,8506255;0;166,9389264;191,6136585;376,3269517;310,9652364;56,64669961;8,715015707
 06/13  20:00:00;932,5320709;94,71476999;433,2449774;0;100,1506573;124,5586935;436,4497996;362,3909005;56,64669961;17,41219944
 06/13  21:00:00;892,5187102;94,71476999;432,5871171;0;100,1506573;124,5586935;424,1768204;372,9933723;42,48502471;8,698423396
 06/13  22:00:00;827,3811953;94,71476999;434,7603492;0;46,09303362;124,5586935;439,3848584;393,6885127;28,3233498;17,37299585
 06/13  23:00:00;829,3659233;94,71476999;435,9986902;0;46,09303362;124,5586935;423,6674629;400,809002;14,1616749;8,696785974
