;name;address;latitude;longitude;avg_rating;avg_price;category;review_count
112;美好时光KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);松江区江学路138号;31.031197;121.21166;30.0;0.0;KTV;7
113;帝豪KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);松江区谷阳北路1425号;31.032578;121.23417;30.0;0.0;KTV;12
114;歌友汇(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);金山区金山区石化龙胜东路789弄金海岸小区对面;30.728828;121.35446;30.0;0.0;KTV;10
115;自由麦克(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);松江区人民北路361号;31.016624;121.226295;40.0;28.0;KTV;101
116;爱歌秀录音棚(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区中兴路1286号604室;31.252003;121.46205;30.0;0.0;KTV;0
117;帝豪娱乐会所(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区山西北路388弄;31.246733;121.480545;0.0;0.0;KTV;0
118;复旦医学院交谊舞厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区东安路130号复旦大学医学院内东1号楼2楼中庭;31.196856;121.450775;0.0;0.0;KTV;2
119;乐城卡拉OK(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区德都路金悦生活广场3楼;31.403225;121.42834;30.0;0.0;KTV;8
120;港鸿会所(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);普陀区武宁路501号港鸿大酒店2楼;31.243835;121.4157;30.0;0.0;KTV;5
121;英英卡拉OK厅(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);长宁区水城路706号;31.212568;121.39173;0.0;0.0;KTV;2
122;大韩娱乐KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);普陀区沪太路555号;31.257204;121.45146;0.0;0.0;KTV;0
123;联依KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闵行区虹梅南路85号;31.138187;121.412926;30.0;0.0;KTV;4
124;凤翼天祥KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闵行区都市路3605号;31.081944;121.40162;30.0;0.0;KTV;4
125;芭芭拉KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区河南北路373号;31.248186;121.480804;0.0;0.0;KTV;1
126;星岛之夜KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区班溪路99号;31.372398;121.49593;30.0;0.0;KTV;3
127;月上镜KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区海宁路1399号金城大厦内;31.243969;121.46841;0.0;0.0;KTV;5
128;UK卡拉OK(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);宝山区沪太支路1538号;31.29978;121.415115;30.0;0.0;KTV;3
129;新新日式KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);卢湾区瑞金南路1号海兴广场4楼;31.204588;121.46746;30.0;0.0;KTV;2
130;盈航KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);杨浦区三门路158号;31.311203;121.509674;0.0;0.0;KTV;1
131;JMKTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);卢湾区瑞金南路428号3楼;31.200588;121.46766;0.0;0.0;KTV;2
132;金易来KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区浦三路540-2号;31.190742;121.51507;30.0;0.0;KTV;6
133;大同KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);卢湾区鲁班路166号;31.205435;121.47402;0.0;0.0;KTV;4
134;再回首KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区钦州路518号沪江宾馆;31.17051;121.43017;0.0;0.0;KTV;3
135;恺乐KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);徐汇区上中西路122号;31.136105;121.42983;30.0;0.0;KTV;1
136;宝丽KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区上南路1585号;31.168776;121.497185;30.0;0.0;KTV;4
137;锦绣天堂KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);浦东新区浦东大道844号;31.240307;121.52839;0.0;0.0;KTV;9
138;北欧卡拉OK(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);静安区南京西路595号;31.23054;121.46553;0.0;0.0;KTV;1
139;虹湾KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);虹口区场中路353号虹湾大酒店;31.30757;121.47748;0.0;0.0;KTV;2
140;今生今世KTV(这是一条测试商户数据，仅用于测试开发，开发完成后请申请正式数据...);闸北区共和新路2266号;31.27811;121.45156;30.0;0.0;KTV;7
